"location_id","date_utc","hour_utc","date_local","hour_local","consumption","baseline","erasing","status","extra"
"5721","2022-01-03T00:00:00Z","8","2022-01-03T00:00:00Z","3","1.946655","1.9718118","0.025156736","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T09:00:54.3933864Z""}}"
"3209","2022-01-03T00:00:00Z","9","2022-01-03T00:00:00Z","4","5.474213","3.748559","-1.7256541","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T10:00:21.6657400Z""}}"
"5721","2022-01-03T00:00:00Z","9","2022-01-03T00:00:00Z","4","4.4751835","1.9242057","-2.5509777","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-03T10:01:01.0867510Z""}}"
"3209","2022-01-04T00:00:00Z","22","2022-01-04T00:00:00Z","17","2.1777","8.332903","6.155203","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T23:00:12.8678550Z""}}"
"5721","2022-01-04T00:00:00Z","22","2022-01-04T00:00:00Z","17","0.67628336","2.2987885","1.6225052","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T23:00:37.6732232Z""}}"
"3209","2022-01-04T00:00:00Z","21","2022-01-04T00:00:00Z","16","9.1995","8.388899","-0.81060123","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T22:00:09.8853104Z""}}"
"5721","2022-01-04T00:00:00Z","21","2022-01-04T00:00:00Z","16","4.96653","2.8319287","-2.134601","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T22:00:34.0705223Z""}}"
"5721","2022-01-04T00:00:00Z","20","2022-01-04T00:00:00Z","15","4.720023","2.434311","-2.2857122","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T21:00:29.4181532Z""}}"
"3209","2022-01-04T00:00:00Z","20","2022-01-04T00:00:00Z","15","8.8195","8.19415","-0.62535","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T21:01:10.0254437Z""}}"
"3209","2022-01-04T00:00:00Z","16","2022-01-04T00:00:00Z","11","7.6717534","3.4965143","-4.175239","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T17:00:03.6243238Z""}}"
"5721","2022-01-04T00:00:00Z","19","2022-01-04T00:00:00Z","14","2.6394017","2.8818278","0.24242616","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T20:00:27.0476530Z""}}"
"3209","2022-01-04T00:00:00Z","15","2022-01-04T00:00:00Z","10","9.216755","3.534926","-5.681829","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T16:00:03.0238706Z""}}"
"5721","2022-01-04T00:00:00Z","15","2022-01-04T00:00:00Z","10","4.622608","2.7957158","-1.8268924","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T16:00:08.4831924Z""}}"
"5721","2022-01-04T00:00:00Z","16","2022-01-04T00:00:00Z","11","3.7100916","2.364294","-1.3457975","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T17:00:12.4171675Z""}}"
"3209","2022-01-04T00:00:00Z","19","2022-01-04T00:00:00Z","14","4.7945","8.278582","3.4840817","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T20:01:06.8146372Z""}}"
"3209","2022-01-04T00:00:00Z","23","2022-01-04T00:00:00Z","18","0.4258","8.516602","8.090801","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-05T00:00:13.6846036Z""}}"
